iter	Passed	Remaining
417	2470	3439
418	2475	3432
419	2481	3426
420	2486	3420
421	2491	3412
422	2496	3405
423	2500	3396
424	2504	3388
425	2509	3380
426	2513	3372
427	2518	3365
428	2524	3360
429	2529	3353
430	2535	3346
431	2545	3346
432	2549	3338
433	2554	3330
434	2557	3321
435	2562	3314
436	2566	3306
437	2571	3299
438	2577	3294
439	2582	3286
440	2587	3280
441	2593	3274
442	2597	3266
443	2602	3258
444	2607	3252
445	2612	3244
446	2617	3237
447	2622	3231
448	2627	3224
449	2631	3216
450	2636	3209
451	2639	3200
452	2644	3193
453	2648	3185
454	2653	3178
455	2658	3171
456	2662	3163
457	2667	3156
458	2672	3149
459	2676	3142
460	2681	3134
461	2685	3127
462	2691	3121
463	2695	3113
464	2699	3106
465	2704	3098
466	2708	3091
467	2714	3086
468	2718	3078
469	2723	3071
470	2727	3063
471	2732	3057
472	2744	3058
473	2753	3055
474	2759	3049
475	2769	3048
476	2775	3043
477	2781	3037
478	2793	3038
479	2801	3034
480	2807	3029
481	2816	3026
482	2822	3021
483	2825	3012
484	2832	3008
485	2839	3003
486	2846	2998
487	2852	2992
488	2855	2984
489	2860	2977
490	2865	2970
491	2869	2962
492	2875	2956
493	2880	2950
494	2885	2944
495	2889	2936
496	2893	2928
497	2898	2922
498	2902	2914
499	2911	2911
500	2918	2907
501	2926	2903
502	2933	2898
503	2940	2894
504	2947	2889
505	2954	2884
506	2960	2878
507	2964	2870
508	2969	2864
509	2974	2857
510	2979	2851
511	2984	2844
512	2990	2838
513	2995	2832
514	3002	2827
515	3009	2823
516	3018	2819
517	3025	2815
518	3036	2813
519	3042	2808
520	3050	2804
521	3056	2798
522	3062	2793
523	3065	2784
524	3072	2779
525	3078	2774
526	3085	2769
527	3091	2763
528	3098	2759
529	3102	2751
530	3107	2744
531	3111	2737
532	3119	2733
533	3126	2728
534	3131	2721
535	3135	2714
536	3139	2706
537	3143	2699
538	3147	2692
539	3153	2686
540	3157	2678
541	3161	2671
542	3165	2664
543	3170	2657
544	3175	2651
545	3180	2644
546	3185	2637
547	3189	2630
548	3196	2626
549	3201	2619
550	3205	2612
551	3210	2605
552	3214	2598
553	3218	2591
554	3224	2585
555	3228	2577
556	3232	2570
557	3236	2563
558	3240	2556
559	3245	2549
560	3249	2542
561	3253	2535
562	3258	2529
563	3263	2522
564	3269	2517
565	3274	2510
566	3278	2504
567	3282	2496
568	3287	2489
569	3299	2488
570	3305	2483
571	3311	2477
572	3316	2471
573	3321	2465
574	3326	2458
575	3331	2452
576	3340	2448
577	3345	2442
578	3352	2437
579	3359	2432
580	3365	2427
581	3372	2422
582	3378	2416
583	3385	2411
584	3390	2405
585	3394	2398
586	3400	2392
587	3405	2386
588	3410	2379
589	3415	2373
590	3420	2367
591	3425	2360
592	3429	2353
593	3434	2347
594	3440	2341
595	3445	2335
596	3452	2330
597	3458	2324
598	3461	2317
599	3465	2310
600	3470	2304
601	3475	2297
602	3480	2291
603	3485	2285
604	3490	2279
605	3496	2273
606	3502	2267
607	3505	2260
608	3517	2258
609	3520	2250
610	3526	2245
611	3531	2239
612	3538	2233
613	3543	2227
614	3551	2223
615	3556	2217
616	3562	2211
617	3567	2205
618	3573	2199
619	3579	2193
620	3584	2187
621	3590	2182
622	3596	2176
623	3602	2170
624	3608	2165
625	3613	2159
626	3618	2152
627	3623	2146
628	3629	2140
629	3634	2134
630	3639	2128
631	3645	2122
632	3650	2116
633	3655	2110
634	3660	2104
635	3667	2098
636	3672	2092
637	3678	2087
638	3683	2081
639	3688	2075
640	3693	2068
641	3701	2064
642	3711	2060
643	3717	2054
644	3724	2049
645	3731	2045
646	3737	2039
647	3742	2033
648	3748	2027
649	3754	2021
650	3759	2015
651	3768	2011
652	3774	2005
653	3782	2000
654	3788	1995
655	3794	1989
656	3800	1983
657	3805	1977
658	3813	1973
659	3819	1967
660	3825	1961
661	3830	1955
662	3836	1949
663	3842	1944
664	3845	1937
665	3853	1932
666	3859	1926
667	3864	1920
668	3869	1914
669	3875	1908
670	3881	1903
671	3885	1896
672	3890	1890
673	3895	1884
674	3901	1878
675	3906	1872
676	3911	1866
677	3916	1859
678	3921	1854
679	3927	1848
680	3932	1842
681	3938	1836
682	3944	1830
683	3950	1824
684	3955	1819
685	3963	1814
686	3968	1808
687	3974	1802
688	3979	1796
689	3985	1790
690	3991	1784
691	3994	1777
692	3997	1770
693	4002	1764
694	4009	1759
695	4014	1753
696	4019	1747
697	4025	1741
698	4030	1735
699	4036	1730
700	4043	1724
701	4050	1719
702	4054	1713
703	4060	1707
704	4067	1701
705	4072	1696
706	4077	1689
707	4087	1685
708	4092	1679
709	4098	1673
710	4104	1668
711	4109	1662
712	4117	1657
713	4122	1651
714	4127	1645
715	4132	1639
716	4137	1633
717	4143	1627
718	4149	1621
719	4155	1615
720	4193	1622
721	4204	1619
722	4214	1614
723	4222	1609
724	4228	1603
725	4233	1597
726	4238	1591
727	4244	1586
728	4250	1580
729	4255	1573
730	4263	1568
731	4267	1562
732	4272	1556
733	4278	1550
734	4282	1543
735	4286	1537
736	4292	1531
737	4298	1526
738	4304	1520
739	4311	1515
740	4317	1508
741	4324	1503
742	4329	1497
743	4333	1491
744	4338	1485
745	4343	1479
746	4347	1472
747	4354	1466
748	4360	1461
749	4365	1455
750	4371	1449
751	4376	1443
752	4381	1437
753	4385	1430
754	4390	1424
755	4395	1418
756	4402	1413
757	4409	1407
758	4418	1402
759	4425	1397
760	4431	1391
761	4437	1385
762	4443	1380
763	4449	1374
764	4454	1368
765	4459	1362
766	4466	1356
767	4472	1351
768	4478	1345
769	4487	1340
770	4494	1334
771	4500	1329
772	4507	1323
773	4513	1318
774	4519	1311
775	4524	1305
776	4535	1301
777	4542	1296
778	4548	1290
779	4554	1284
780	4560	1278
781	4566	1272
782	4571	1266
783	4577	1261
784	4582	1254
785	4587	1248
786	4592	1242
787	4597	1236
788	4601	1230
789	4606	1224
790	4611	1218
791	4618	1212
792	4625	1207
793	4630	1201
794	4635	1195
795	4641	1189
796	4646	1183
797	4652	1177
798	4658	1171
799	4663	1165
800	4668	1159
801	4682	1156
802	4691	1150
803	4695	1144
804	4700	1138
805	4707	1133
806	4713	1127
807	4725	1122
808	4729	1116
809	4735	1110
810	4741	1104
811	4747	1099
812	4753	1093
813	4759	1087
814	4765	1081
815	4770	1075
816	4775	1069
817	4780	1063
818	4786	1057
819	4793	1052
820	4798	1046
821	4805	1040
822	4811	1034
823	4818	1029
824	4823	1023
825	4828	1017
826	4833	1011
827	4838	1005
828	4843	999
829	4848	993
830	4851	986
831	4854	980
832	4858	974
833	4862	967
834	4867	961
835	4870	955
836	4875	949
837	4881	943
838	4884	937
839	4888	931
840	4894	925
841	4898	919
842	4903	913
843	4907	907
844	4913	901
845	4917	895
846	4922	889
847	4933	884
848	4939	878
849	4944	872
850	4948	866
851	4952	860
852	4956	854
853	4960	848
854	4964	842
855	4969	835
856	4973	829
857	4977	823
858	4984	818
859	4989	812
860	4994	806
861	4998	800
862	5009	795
863	5014	789
864	5018	783
865	5023	777
866	5027	771
867	5031	765
868	5036	759
869	5045	753
870	5050	747
871	5055	742
872	5061	736
873	5068	730
874	5076	725
875	5088	720
876	5097	714
877	5104	709
878	5112	703
879	5119	698
880	5124	692
881	5129	686
882	5134	680
883	5141	674
884	5148	669
885	5153	663
886	5159	657
887	5166	651
888	5171	645
889	5177	639
890	5184	634
891	5190	628
892	5196	622
893	5201	616
894	5207	610
895	5211	604
896	5218	599
897	5224	593
898	5230	587
899	5237	581
900	5245	576
901	5252	570
902	5259	564
903	5267	559
904	5273	553
905	5278	547
906	5284	541
907	5294	536
908	5300	530
909	5306	524
910	5314	519
911	5321	513
912	5327	507
913	5333	501
914	5342	496
915	5350	490
916	5356	484
917	5362	478
918	5366	472
919	5373	467
920	5378	461
921	5386	455
922	5392	449
923	5397	443
924	5403	438
925	5407	432
926	5411	426
927	5416	420
928	5422	414
929	5430	408
930	5434	402
931	5440	396
932	5444	390
933	5449	385
934	5455	379
935	5459	373
936	5464	367
937	5469	361
938	5472	355
939	5476	349
940	5485	343
941	5490	338
942	5495	332
943	5500	326
944	5504	320
945	5509	314
946	5514	308
947	5519	302
948	5525	296
949	5531	291
950	5537	285
951	5545	279
952	5551	273
953	5557	267
954	5561	262
955	5567	256
956	5573	250
957	5579	244
958	5584	238
959	5591	232
960	5596	227
961	5601	221
962	5607	215
963	5612	209
964	5618	203
965	5624	197
966	5629	192
967	5635	186
968	5641	180
969	5646	174
970	5651	168
971	5657	162
972	5662	157
973	5666	151
974	5674	145
975	5679	139
976	5684	133
977	5690	128
978	5695	122
979	5701	116
980	5706	110
981	5711	104
982	5717	98
983	5722	93
984	5727	87
985	5732	81
986	5738	75
987	5745	69
988	5750	63
989	5754	58
990	5760	52
991	5766	46
992	5771	40
993	5776	34
994	5781	29
995	5786	23
996	5794	17
997	5799	11
998	5804	5
999	5809	0
5962	17
997	5967	11
998	5972	5
999	5976	0
