iter	Logloss
0	0.6853407224
1	0.6778225899
2	0.6719841162
3	0.6658856869
4	0.6592901548
5	0.6529821157
6	0.6472550233
7	0.6414501667
8	0.6356565158
9	0.630614837
10	0.6256004969
11	0.6202597618
12	0.614962856
13	0.609234492
14	0.6040363312
15	0.600680987
16	0.595849514
17	0.5908093452
18	0.5858852069
19	0.5809954802
20	0.57660079
21	0.5721328656
22	0.5677990913
23	0.5641196569
24	0.5602657398
25	0.5564428171
26	0.552357475
27	0.5484144688
28	0.5443349679
29	0.5411549807
30	0.5371152957
31	0.5336495241
32	0.5296338002
33	0.5259896517
34	0.5220397711
35	0.5187607209
36	0.5155135393
37	0.512071689
38	0.5090610981
39	0.506310463
40	0.5034279029
41	0.5003074805
42	0.49783957
43	0.4953281879
44	0.4928534826
45	0.489969492
46	0.4869647821
47	0.4842771292
48	0.4815866947
49	0.4790197213
50	0.4755949179
51	0.4730060101
52	0.4703481992
53	0.4679429134
54	0.4652117491
55	0.4628899097
56	0.4603427251
57	0.4578287999
58	0.4556578
59	0.453457435
60	0.4513610999
61	0.4494335651
62	0.4476435582
63	0.4453824361
64	0.4433654944
65	0.4415409565
66	0.4397331874
67	0.4377402862
68	0.436112841
69	0.4341182709
70	0.4326707522
71	0.4308530887
72	0.428976059
73	0.42768085
74	0.4260097345
75	0.4243120352
76	0.423044006
77	0.4215759834
78	0.4197791417
79	0.4184259971
80	0.416879336
81	0.4155306021
82	0.4142578443
83	0.4130834341
84	0.4115787347
85	0.410157601
86	0.4089291493
87	0.4079105059
88	0.4064362049
89	0.4046647549
90	0.4034979343
91	0.4021370411
92	0.4005940755
93	0.3994659583
94	0.3981603384
95	0.3973010778
96	0.3961071173
97	0.3950941165
98	0.3942501148
99	0.3930416902
100	0.3918964863
101	0.3911174933
102	0.3902313709
103	0.3889141877
104	0.3878662586
105	0.3867197831
106	0.3858898083
107	0.3849887848
108	0.3840924501
109	0.3831086953
110	0.3822387854
111	0.3813349406
112	0.3803064028
113	0.3791248004
114	0.378095746
115	0.3768839041
116	0.3757776419
117	0.3749947548
118	0.374117136
119	0.3735017379
120	0.3730290731
121	0.3721338511
122	0.37124149
123	0.3702826897
124	0.369694074
125	0.3690944513
126	0.3684243361
127	0.3676300844
128	0.3668283224
129	0.3661974271
130	0.3655331532
131	0.3649296363
132	0.3643343449
133	0.3636211554
134	0.3632794221
135	0.3624440034
136	0.3619770209
137	0.3612741629
138	0.3604809443
139	0.3596839507
140	0.3588729699
141	0.3583995104
142	0.3577634494
143	0.3572024107
144	0.356272618
145	0.3558237553
146	0.3548241854
147	0.3543562094
148	0.3536879619
149	0.3530758222
150	0.352365613
151	0.352032423
152	0.3514351447
153	0.3509468635
154	0.3502747218
155	0.3498087327
156	0.3493988514
157	0.348732233
158	0.3483106693
159	0.3477987051
160	0.3473558426
161	0.3468464613
162	0.3462072611
163	0.3457456827
164	0.3452861706
165	0.3446688652
166	0.344268918
167	0.3436597188
168	0.3430333932
169	0.3426000675
170	0.3422189156
171	0.341906786
172	0.3414594332
173	0.3409297069
174	0.3404024442
175	0.3401833375
176	0.3395899137
177	0.3391524156
178	0.3388679028
179	0.3381447792
180	0.3377978007
181	0.3373934031
182	0.3368857702
183	0.3365026315
184	0.3359489441
185	0.3353228569
186	0.3349259297
187	0.3345272144
188	0.3340705633
189	0.3335908651
190	0.3332808614
191	0.3328868945
192	0.3323416909
193	0.3319674333
194	0.3315659165
195	0.3310756683
196	0.3305376569
197	0.3300578594
198	0.3296140432
199	0.3292135398
200	0.3287583192
201	0.3284218311
202	0.3281009197
203	0.3278558254
204	0.3274340828
205	0.3271280527
206	0.3267618418
207	0.3263909419
208	0.3262051145
209	0.3257924318
210	0.325475653
211	0.3251274824
212	0.3248351415
213	0.3244704604
214	0.3240936597
215	0.3238434792
216	0.3236196836
217	0.3232003053
218	0.3227965832
219	0.3225410382
220	0.3222517967
221	0.3218992154
222	0.3215814233
223	0.3211199443
224	0.320899109
225	0.3205368519
226	0.3202815255
227	0.3199078838
228	0.3195597331
229	0.3191882372
230	0.3189736605
231	0.3185581962
232	0.3183617592
233	0.3181049426
234	0.3177602887
235	0.3174001376
236	0.3170400262
237	0.316806376
238	0.316661338
239	0.3163181941
240	0.3160782258
241	0.3158014218
242	0.3155360222
243	0.3152863383
244	0.3149641156
245	0.3147258162
246	0.3144085606
247	0.314146022
248	0.3138126135
249	0.3135885398
250	0.3132564227
251	0.3129890362
252	0.3126856287
