Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Ridge Classifier,0.7978,0.8517,0.5984,0.8353,0.6941,0.5492,0.5684,0.125
Logistic Regression,0.7914,0.852,0.7573,0.7225,0.7363,0.5644,0.5685,0.235
Naive Bayes,0.6517,0.8119,0.1045,0.8731,0.1846,0.1155,0.22,0.0825
SVM - Linear Kernel,0.6276,0.5892,0.1001,0.4528,0.1549,0.0644,0.0939,0.0725
K Neighbors Classifier,0.5715,0.5997,0.5066,0.4481,0.4737,0.1154,0.1165,0.145
