Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
K Neighbors Classifier,0.7881,0.0,0.7156,0.7282,0.7215,0.5506,0.551,0.0967
Ridge Classifier,0.7785,0.828,0.7278,0.7062,0.7158,0.5345,0.5358,0.09
Logistic Regression,0.7753,0.8365,0.7697,0.6845,0.7242,0.5357,0.5389,0.11
Random Forest Classifier,0.7561,0.0,0.7405,0.6647,0.6999,0.4956,0.4983,0.1633
Naive Bayes,0.7336,0.0,0.5775,0.6791,0.6235,0.4197,0.4234,0.0933
